ShiftKey,LineId,ShiftLabel,Segment,Cluster,CurrentShare,BaselineMean,ZScore,Direction,Headline,Detail,HeadlineML,SegColor,Rank
hu3|2026-06-13|day,hu3,Day 06-13,pneumatic,Other,8.7,0.4,8.3,above,22× more Other stops than usual (Pneumatic),"8.7% of this shift's downtime, normally 0.4%","22× more Other stops than usual (Pneumatic)
8.7% of this shift's downtime, normally 0.4%",#10B981,0
hu3|2026-06-13|day,hu3,Day 06-13,pneumatic,Air Pressure,23.4,4.9,3.8,above,5× more Air Pressure stops than usual (Pneumatic),"23.4% of this shift's downtime, normally 4.9%","5× more Air Pressure stops than usual (Pneumatic)
23.4% of this shift's downtime, normally 4.9%",#10B981,1
hu3|2026-06-13|night,hu3,Night 06-13,web,Web Torn,7.2,1.4,3.7,above,5× more Web Torn stops than usual (Web / Reel),"7.2% of this shift's downtime, normally 1.4%","5× more Web Torn stops than usual (Web / Reel)
7.2% of this shift's downtime, normally 1.4%",#3B82F6,0
hu3|2026-06-14|day,hu3,Day 06-14,pneumatic,Air Pressure,37.3,4.9,6.7,above,8× more Air Pressure stops than usual (Pneumatic),"37.3% of this shift's downtime, normally 4.9%","8× more Air Pressure stops than usual (Pneumatic)
37.3% of this shift's downtime, normally 4.9%",#10B981,0
hu3|2026-06-14|day,hu3,Day 06-14,unattributed,unattributed,13.5,41.0,-2.4,below,Fewer unattributed stops than usual (Other),"13.5% of this shift's downtime, normally 41.0%","Fewer unattributed stops than usual (Other)
13.5% of this shift's downtime, normally 41.0%",#b2bec3,1
hu3|2026-06-14|day,hu3,Day 06-14,web,Splice,7.1,2.8,2.0,above,3× more Splice stops than usual (Web / Reel),"7.1% of this shift's downtime, normally 2.8%","3× more Splice stops than usual (Web / Reel)
7.1% of this shift's downtime, normally 2.8%",#3B82F6,2
hu3|2026-06-14|night,hu3,Night 06-14,pneumatic,Air Pressure,21.5,4.9,3.5,above,4× more Air Pressure stops than usual (Pneumatic),"21.5% of this shift's downtime, normally 4.9%","4× more Air Pressure stops than usual (Pneumatic)
21.5% of this shift's downtime, normally 4.9%",#10B981,0
hu3|2026-06-14|night,hu3,Night 06-14,unattributed,unattributed,13.9,41.0,-2.4,below,Fewer unattributed stops than usual (Other),"13.9% of this shift's downtime, normally 41.0%","Fewer unattributed stops than usual (Other)
13.9% of this shift's downtime, normally 41.0%",#b2bec3,1
hu3|2026-06-15|day,hu3,Day 06-15,sealing,Sealing Head,31.0,4.2,5.0,above,7× more Sealing Head stops than usual (Sealing),"31.0% of this shift's downtime, normally 4.2%","7× more Sealing Head stops than usual (Sealing)
31.0% of this shift's downtime, normally 4.2%",#F59E0B,0
hu3|2026-06-15|day,hu3,Day 06-15,unattributed,unattributed,15.9,41.0,-2.2,below,Fewer unattributed stops than usual (Other),"15.9% of this shift's downtime, normally 41.0%","Fewer unattributed stops than usual (Other)
15.9% of this shift's downtime, normally 41.0%",#b2bec3,1
