ShiftKey,LineId,Category,CategoryLabel,Count,Hours
hu3|2026-06-13|day,hu3,micro_stops,Micro-stops (<2 min),36,0.62
hu3|2026-06-13|day,hu3,halted,Halted (operator wait),11,2.68
hu3|2026-06-13|day,hu3,auto_long,Auto-stops (>2 min),27,3.19
hu3|2026-06-13|day,hu3,manual,Manual stops,2,0.21
hu3|2026-06-13|night,hu3,micro_stops,Micro-stops (<2 min),42,0.74
hu3|2026-06-13|night,hu3,halted,Halted (operator wait),2,0.62
hu3|2026-06-13|night,hu3,auto_long,Auto-stops (>2 min),28,3.69
hu3|2026-06-13|night,hu3,manual,Manual stops,13,1.47
hu3|2026-06-14|day,hu3,micro_stops,Micro-stops (<2 min),20,0.28
hu3|2026-06-14|day,hu3,halted,Halted (operator wait),3,1.93
hu3|2026-06-14|day,hu3,auto_long,Auto-stops (>2 min),22,1.89
hu3|2026-06-14|day,hu3,manual,Manual stops,8,1.04
hu3|2026-06-14|night,hu3,micro_stops,Micro-stops (<2 min),17,0.33
hu3|2026-06-14|night,hu3,halted,Halted (operator wait),6,1.41
hu3|2026-06-14|night,hu3,auto_long,Auto-stops (>2 min),18,1.79
hu3|2026-06-14|night,hu3,manual,Manual stops,10,1.02
hu3|2026-06-15|day,hu3,micro_stops,Micro-stops (<2 min),29,0.38
hu3|2026-06-15|day,hu3,halted,Halted (operator wait),3,0.17
hu3|2026-06-15|day,hu3,auto_long,Auto-stops (>2 min),25,3.41
hu3|2026-06-15|day,hu3,manual,Manual stops,2,0.09
hu3|2026-06-15|night,hu3,micro_stops,Micro-stops (<2 min),34,0.6
hu3|2026-06-15|night,hu3,halted,Halted (operator wait),5,0.29
hu3|2026-06-15|night,hu3,auto_long,Auto-stops (>2 min),29,2.68
hu3|2026-06-15|night,hu3,manual,Manual stops,8,0.67
hu3|2026-06-16|day,hu3,micro_stops,Micro-stops (<2 min),96,1.0
hu3|2026-06-16|day,hu3,halted,Halted (operator wait),4,1.33
hu3|2026-06-16|day,hu3,auto_long,Auto-stops (>2 min),18,1.48
hu3|2026-06-16|day,hu3,manual,Manual stops,3,0.38
hu3|2026-06-16|night,hu3,micro_stops,Micro-stops (<2 min),52,0.83
hu3|2026-06-16|night,hu3,halted,Halted (operator wait),2,0.14
hu3|2026-06-16|night,hu3,auto_long,Auto-stops (>2 min),28,2.34
hu3|2026-06-16|night,hu3,manual,Manual stops,6,0.88
hu3|2026-06-17|day,hu3,micro_stops,Micro-stops (<2 min),35,0.47
hu3|2026-06-17|day,hu3,halted,Halted (operator wait),9,1.06
hu3|2026-06-17|day,hu3,auto_long,Auto-stops (>2 min),14,3.75
hu3|2026-06-17|day,hu3,manual,Manual stops,8,2.13
hu3|2026-06-17|night,hu3,micro_stops,Micro-stops (<2 min),64,0.78
hu3|2026-06-17|night,hu3,halted,Halted (operator wait),7,0.45
hu3|2026-06-17|night,hu3,auto_long,Auto-stops (>2 min),27,3.73
hu3|2026-06-17|night,hu3,manual,Manual stops,4,0.39
hu3|2026-06-18|day,hu3,micro_stops,Micro-stops (<2 min),43,0.62
hu3|2026-06-18|day,hu3,halted,Halted (operator wait),3,0.1
hu3|2026-06-18|day,hu3,auto_long,Auto-stops (>2 min),19,4.71
hu3|2026-06-18|day,hu3,manual,Manual stops,21,2.43
hu3|2026-06-18|night,hu3,micro_stops,Micro-stops (<2 min),20,0.27
hu3|2026-06-18|night,hu3,halted,Halted (operator wait),5,0.7
hu3|2026-06-18|night,hu3,auto_long,Auto-stops (>2 min),21,1.69
hu3|2026-06-18|night,hu3,manual,Manual stops,10,0.79
hu3|2026-06-19|day,hu3,micro_stops,Micro-stops (<2 min),15,0.29
hu3|2026-06-19|day,hu3,halted,Halted (operator wait),5,0.9
hu3|2026-06-19|day,hu3,auto_long,Auto-stops (>2 min),19,2.01
hu3|2026-06-19|day,hu3,manual,Manual stops,8,4.82
hu3|2026-06-19|night,hu3,micro_stops,Micro-stops (<2 min),46,0.84
hu3|2026-06-19|night,hu3,halted,Halted (operator wait),5,0.16
hu3|2026-06-19|night,hu3,auto_long,Auto-stops (>2 min),22,2.14
hu3|2026-06-19|night,hu3,manual,Manual stops,10,0.36
hu3|2026-07-08|day,hu3,micro_stops,Micro-stops (<2 min),38,0.63
hu3|2026-07-08|day,hu3,halted,Halted (operator wait),4,0.15
hu3|2026-07-08|day,hu3,auto_long,Auto-stops (>2 min),20,1.89
hu3|2026-07-08|day,hu3,manual,Manual stops,5,3.23
hu3|2026-07-08|night,hu3,micro_stops,Micro-stops (<2 min),30,0.56
hu3|2026-07-08|night,hu3,halted,Halted (operator wait),4,0.1
hu3|2026-07-08|night,hu3,auto_long,Auto-stops (>2 min),25,4.11
hu3|2026-07-08|night,hu3,manual,Manual stops,8,1.09
hu3|2026-07-09|day,hu3,micro_stops,Micro-stops (<2 min),51,0.82
hu3|2026-07-09|day,hu3,halted,Halted (operator wait),4,0.42
hu3|2026-07-09|day,hu3,auto_long,Auto-stops (>2 min),27,2.8
hu3|2026-07-09|day,hu3,manual,Manual stops,3,0.39
hu3|2026-07-09|night,hu3,micro_stops,Micro-stops (<2 min),67,1.0
hu3|2026-07-09|night,hu3,halted,Halted (operator wait),3,0.15
hu3|2026-07-09|night,hu3,auto_long,Auto-stops (>2 min),26,2.62
hu3|2026-07-09|night,hu3,manual,Manual stops,5,0.73
hu3|2026-07-10|day,hu3,micro_stops,Micro-stops (<2 min),66,0.89
hu3|2026-07-10|day,hu3,halted,Halted (operator wait),5,1.04
hu3|2026-07-10|day,hu3,auto_long,Auto-stops (>2 min),21,2.07
hu3|2026-07-10|day,hu3,manual,Manual stops,7,0.17
hu3|2026-07-10|night,hu3,micro_stops,Micro-stops (<2 min),29,0.54
hu3|2026-07-10|night,hu3,halted,Halted (operator wait),3,0.41
hu3|2026-07-10|night,hu3,auto_long,Auto-stops (>2 min),26,3.58
hu3|2026-07-10|night,hu3,manual,Manual stops,6,0.57
