LineId,Line,Panel,BatchIdx,Lane,Rate,Ewma,Ucl,Lcl
ngp2,NGP2,Nozzle,0,1,0.0,0.0,12.27,0.0
ngp2,NGP2,Nozzle,0,2,0.0,0.0,3.86,0.0
ngp2,NGP2,Nozzle,0,3,0.0,0.0,3.29,0.0
ngp2,NGP2,Nozzle,0,4,0.0,0.0,3.75,0.0
ngp2,NGP2,Nozzle,0,5,0.0,0.0,2.9,0.0
ngp2,NGP2,Nozzle,0,6,0.0,0.0,3.54,0.0
ngp2,NGP2,Nozzle,0,7,0.0,0.0,4.82,0.0
ngp2,NGP2,Nozzle,0,8,0.0,0.0,3.23,0.0
ngp2,NGP2,Nozzle,0,9,0.0,0.0,4.04,0.0
ngp2,NGP2,Nozzle,0,10,0.0,0.0,3.1,0.0
ngp2,NGP2,Nozzle,1,1,0.43,0.085,12.27,0.0
ngp2,NGP2,Nozzle,1,2,0.4,0.081,3.86,0.0
ngp2,NGP2,Nozzle,1,3,0.38,0.076,3.29,0.0
ngp2,NGP2,Nozzle,1,4,0.43,0.085,3.75,0.0
ngp2,NGP2,Nozzle,1,5,0.38,0.076,2.9,0.0
ngp2,NGP2,Nozzle,1,6,0.47,0.094,3.54,0.0
ngp2,NGP2,Nozzle,1,7,0.56,0.112,4.82,0.0
ngp2,NGP2,Nozzle,1,8,0.54,0.108,3.23,0.0
ngp2,NGP2,Nozzle,1,9,0.38,0.076,4.04,0.0
ngp2,NGP2,Nozzle,1,10,0.45,0.09,3.1,0.0
ngp2,NGP2,Nozzle,2,1,0.34,0.137,12.27,0.0
ngp2,NGP2,Nozzle,2,2,0.38,0.14,3.86,0.0
ngp2,NGP2,Nozzle,2,3,0.34,0.13,3.29,0.0
ngp2,NGP2,Nozzle,2,4,0.44,0.156,3.75,0.0
ngp2,NGP2,Nozzle,2,5,0.44,0.149,2.9,0.0
ngp2,NGP2,Nozzle,2,6,0.34,0.144,3.54,0.0
ngp2,NGP2,Nozzle,2,7,0.34,0.159,4.82,0.0
ngp2,NGP2,Nozzle,2,8,0.34,0.155,3.23,0.0
ngp2,NGP2,Nozzle,2,9,0.34,0.13,4.04,0.0
ngp2,NGP2,Nozzle,2,10,0.34,0.141,3.1,0.0
ngp2,NGP2,Nozzle,3,1,0.48,0.206,12.27,0.0
ngp2,NGP2,Nozzle,3,2,0.52,0.215,3.86,0.0
ngp2,NGP2,Nozzle,3,3,0.52,0.207,3.29,0.0
ngp2,NGP2,Nozzle,3,4,0.48,0.221,3.75,0.0
ngp2,NGP2,Nozzle,3,5,0.41,0.2,2.9,0.0
ngp2,NGP2,Nozzle,3,6,0.52,0.219,3.54,0.0
ngp2,NGP2,Nozzle,3,7,0.52,0.231,4.82,0.0
ngp2,NGP2,Nozzle,3,8,0.59,0.242,3.23,0.0
ngp2,NGP2,Nozzle,3,9,0.52,0.207,4.04,0.0
ngp2,NGP2,Nozzle,3,10,0.52,0.216,3.1,0.0
ngp2,NGP2,Nozzle,4,1,0.41,0.247,12.27,0.0
ngp2,NGP2,Nozzle,4,2,0.41,0.254,3.86,0.0
ngp2,NGP2,Nozzle,4,3,0.41,0.248,3.29,0.0
ngp2,NGP2,Nozzle,4,4,0.47,0.271,3.75,0.0
ngp2,NGP2,Nozzle,4,5,0.44,0.248,2.9,0.0
ngp2,NGP2,Nozzle,4,6,0.41,0.258,3.54,0.0
ngp2,NGP2,Nozzle,4,7,0.53,0.291,4.82,0.0
ngp2,NGP2,Nozzle,4,8,0.44,0.282,3.23,0.0
ngp2,NGP2,Nozzle,4,9,0.41,0.248,4.04,0.0
ngp2,NGP2,Nozzle,4,10,0.38,0.249,3.1,0.0
ngp2,NGP2,Nozzle,5,1,0.34,0.266,12.27,0.0
ngp2,NGP2,Nozzle,5,2,0.34,0.272,3.86,0.0
ngp2,NGP2,Nozzle,5,3,0.38,0.274,3.29,0.0
ngp2,NGP2,Nozzle,5,4,0.41,0.299,3.75,0.0
