ShiftKey,LineId,HourLabel,HourIdx,Segment,Cluster,Minutes
hu3|2026-06-13|day,hu3,07:00,0,sealing,Sealing Head,13.8
hu3|2026-06-13|day,hu3,07:00,0,handling,Gripper,0.8
hu3|2026-06-13|day,hu3,07:00,0,pneumatic,Air Pressure,1.9
hu3|2026-06-13|day,hu3,07:00,0,pneumatic,Other,33.3
hu3|2026-06-13|day,hu3,07:00,0,unattributed,Other,2.3
hu3|2026-06-13|day,hu3,08:00,1,web,End of Reel,7.6
hu3|2026-06-13|day,hu3,08:00,1,web,Web Torn,3.1
hu3|2026-06-13|day,hu3,08:00,1,handling,Gripper,1.7
hu3|2026-06-13|day,hu3,08:00,1,pneumatic,Air Pressure,0.6
hu3|2026-06-13|day,hu3,08:00,1,pneumatic,Valve on Web,5.5
hu3|2026-06-13|day,hu3,08:00,1,unattributed,Other,10.5
hu3|2026-06-13|day,hu3,09:00,2,handling,Fork,4.4
hu3|2026-06-13|day,hu3,09:00,2,handling,Piston,3.2
hu3|2026-06-13|day,hu3,09:00,2,pneumatic,Valve on Web,4.8
hu3|2026-06-13|day,hu3,09:00,2,pneumatic,Air Pressure,1.6
hu3|2026-06-13|day,hu3,09:00,2,unattributed,Other,6.3
hu3|2026-06-13|day,hu3,10:00,3,web,End of Reel,8.3
hu3|2026-06-13|day,hu3,10:00,3,web,Splice,0.4
hu3|2026-06-13|day,hu3,10:00,3,web,Web Torn,2.8
hu3|2026-06-13|day,hu3,10:00,3,handling,Fork,1.5
hu3|2026-06-13|day,hu3,10:00,3,unattributed,Other,6.7
hu3|2026-06-13|day,hu3,11:00,4,web,Web Torn,1.4
hu3|2026-06-13|day,hu3,11:00,4,web,Splice,0.3
hu3|2026-06-13|day,hu3,11:00,4,handling,Cylinder,1.3
hu3|2026-06-13|day,hu3,11:00,4,unattributed,Other,47.1
hu3|2026-06-13|day,hu3,12:00,5,sealing,Sealing Head,4.1
hu3|2026-06-13|day,hu3,12:00,5,manual,Manual,12.1
hu3|2026-06-13|day,hu3,12:00,5,unattributed,Other,29.4
hu3|2026-06-13|day,hu3,13:00,6,web,End of Reel,9.8
hu3|2026-06-13|day,hu3,13:00,6,handling,Gripper,1.5
hu3|2026-06-13|day,hu3,13:00,6,pneumatic,Air Pressure,0.8
hu3|2026-06-13|day,hu3,13:00,6,manual,Manual,0.7
hu3|2026-06-13|day,hu3,13:00,6,unattributed,Other,2.3
hu3|2026-06-13|day,hu3,14:00,7,web,End of Reel,17.4
hu3|2026-06-13|day,hu3,14:00,7,web,Splice,0.3
hu3|2026-06-13|day,hu3,14:00,7,web,Web Torn,6.1
hu3|2026-06-13|day,hu3,14:00,7,handling,Gripper,1.6
hu3|2026-06-13|day,hu3,14:00,7,unattributed,Other,13.9
hu3|2026-06-13|day,hu3,16:00,9,web,Splice,6.9
hu3|2026-06-13|day,hu3,16:00,9,web,End of Reel,4.1
hu3|2026-06-13|day,hu3,16:00,9,web,Web Torn,1.0
hu3|2026-06-13|day,hu3,16:00,9,sealing,Printer,3.7
hu3|2026-06-13|day,hu3,16:00,9,handling,Gripper,2.5
hu3|2026-06-13|day,hu3,16:00,9,pneumatic,Other,1.7
hu3|2026-06-13|day,hu3,16:00,9,pneumatic,Air Pressure,10.8
hu3|2026-06-13|day,hu3,16:00,9,unattributed,Other,1.4
hu3|2026-06-13|day,hu3,17:00,10,pneumatic,Air Pressure,49.8
hu3|2026-06-13|day,hu3,18:00,11,handling,Gripper,2.2
hu3|2026-06-13|day,hu3,18:00,11,pneumatic,Air Pressure,28.7
hu3|2026-06-13|day,hu3,18:00,11,unattributed,Other,18.9
hu3|2026-06-13|night,hu3,19:00,0,handling,Gripper,0.8
hu3|2026-06-13|night,hu3,19:00,0,manual,Manual,8.4
hu3|2026-06-13|night,hu3,19:00,0,unattributed,Other,12.4
hu3|2026-06-13|night,hu3,20:00,1,web,Splice,2.6
hu3|2026-06-13|night,hu3,20:00,1,web,Web Torn,10.1
hu3|2026-06-13|night,hu3,20:00,1,unattributed,Other,2.5
hu3|2026-06-13|night,hu3,21:00,2,web,End of Reel,4.4
hu3|2026-06-13|night,hu3,21:00,2,sealing,Printer,4.5
hu3|2026-06-13|night,hu3,21:00,2,manual,Manual,22.6
hu3|2026-06-13|night,hu3,21:00,2,unattributed,Other,1.2
hu3|2026-06-13|night,hu3,22:00,3,web,Splice,1.1
hu3|2026-06-13|night,hu3,22:00,3,handling,Gripper,1.5
hu3|2026-06-13|night,hu3,22:00,3,pneumatic,Valve on Web,1.0
hu3|2026-06-13|night,hu3,22:00,3,manual,Manual,10.2
hu3|2026-06-13|night,hu3,22:00,3,unattributed,Other,15.6
hu3|2026-06-13|night,hu3,23:00,4,unattributed,Other,60.0
hu3|2026-06-13|night,hu3,00:00,5,handling,Gripper,2.4
hu3|2026-06-13|night,hu3,00:00,5,unattributed,Other,14.8
hu3|2026-06-13|night,hu3,01:00,6,handling,Gripper,3.9
hu3|2026-06-13|night,hu3,01:00,6,unattributed,Other,29.0
hu3|2026-06-13|night,hu3,02:00,7,web,Splice,8.5
hu3|2026-06-13|night,hu3,02:00,7,web,End of Reel,20.6
hu3|2026-06-13|night,hu3,02:00,7,sealing,Sealing Head,0.4
hu3|2026-06-13|night,hu3,02:00,7,unattributed,Other,5.9
hu3|2026-06-13|night,hu3,03:00,8,web,End of Reel,1.4
hu3|2026-06-13|night,hu3,03:00,8,web,Splice,0.3
hu3|2026-06-13|night,hu3,03:00,8,sealing,Knife,9.4
hu3|2026-06-13|night,hu3,03:00,8,unattributed,Other,11.9
