LineId,Line,Panel,ShiftLabel,LineShiftLabel,Lane,Rejects,RatePct,UclPct,OOC,NInspected,OOCColor,ShiftIdx,PBar
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,1,45,1.85,8.362,0,2438,#ffffff,0,2.367
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,2,19,0.78,3.273,0,2438,#ffffff,0,1.015
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,3,18,0.74,2.329,0,2438,#ffffff,0,0.706
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,4,18,0.74,1.668,0,2438,#ffffff,0,0.488
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,5,18,0.74,2.067,0,2438,#ffffff,0,0.563
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,6,18,0.74,1.576,0,2438,#ffffff,0,0.428
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,7,18,0.74,1.619,0,2438,#ffffff,0,0.399
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,8,18,0.74,1.588,0,2438,#ffffff,0,0.403
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,9,28,1.15,3.183,0,2438,#ffffff,0,0.795
ngp2,NGP2,Nozzle,Day 07-08,ngp2|Day 07-08,10,19,0.78,1.573,0,2438,#ffffff,0,0.402
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,1,20,0.44,6.736,0,4589,#ffffff,1,2.367
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,2,11,0.24,2.66,0,4589,#ffffff,1,1.015
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,3,10,0.22,1.889,0,4589,#ffffff,1,0.706
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,4,10,0.22,1.348,0,4589,#ffffff,1,0.488
ngp2,NGP2,Nozzle,Night 07-08,ngp2|Night 07-08,5,10,0.22,1.659,0,4589,#ffffff,1,0.563
