ShiftKey,LineId,Segment,Cluster,Count,Hours,HaltedHours,StoppedHours
hu3|2026-06-13|day,hu3,web,End of Reel,8,0.79,0.0,0.79
hu3|2026-06-13|day,hu3,web,Web Torn,5,0.24,0.0,0.24
hu3|2026-06-13|day,hu3,web,Splice,4,0.13,0.0,0.13
hu3|2026-06-13|day,hu3,sealing,Sealing Head,2,0.3,0.23,0.07
hu3|2026-06-13|day,hu3,sealing,Printer,1,0.06,0.0,0.06
hu3|2026-06-13|day,hu3,handling,Gripper,8,0.17,0.0,0.17
hu3|2026-06-13|day,hu3,handling,Fork,4,0.1,0.0,0.1
hu3|2026-06-13|day,hu3,handling,Piston,1,0.05,0.0,0.05
hu3|2026-06-13|day,hu3,handling,Cylinder,1,0.02,0.0,0.02
hu3|2026-06-13|day,hu3,pneumatic,Air Pressure,6,1.57,1.54,0.03
hu3|2026-06-13|day,hu3,pneumatic,Other,2,0.58,0.55,0.03
hu3|2026-06-13|day,hu3,pneumatic,Valve on Web,3,0.17,0.0,0.17
hu3|2026-06-13|day,hu3,manual,Manual,2,0.21,0.0,0.21
hu3|2026-06-13|day,hu3,unattributed,Other,29,2.31,0.35,1.96
hu3|2026-06-13|night,hu3,web,Splice,5,0.23,0.0,0.23
hu3|2026-06-13|night,hu3,web,Web Torn,5,0.47,0.0,0.47
hu3|2026-06-13|night,hu3,web,End of Reel,5,0.57,0.0,0.57
hu3|2026-06-13|night,hu3,sealing,Printer,1,0.08,0.0,0.08
hu3|2026-06-13|night,hu3,sealing,Sealing Head,2,0.07,0.0,0.07
hu3|2026-06-13|night,hu3,sealing,Knife,1,0.16,0.0,0.16
hu3|2026-06-13|night,hu3,handling,Gripper,7,0.17,0.0,0.17
hu3|2026-06-13|night,hu3,handling,Fork,1,0.03,0.0,0.03
hu3|2026-06-13|night,hu3,pneumatic,Valve on Web,1,0.02,0.0,0.02
hu3|2026-06-13|night,hu3,pneumatic,Air Pressure,1,0.22,0.0,0.22
hu3|2026-06-13|night,hu3,manual,Manual,13,1.47,0.0,1.47
hu3|2026-06-13|night,hu3,unattributed,Other,43,3.05,0.62,2.43
hu3|2026-06-14|day,hu3,web,End of Reel,5,0.49,0.0,0.49
hu3|2026-06-14|day,hu3,web,Splice,5,0.36,0.0,0.36
hu3|2026-06-14|day,hu3,web,Web Torn,2,0.06,0.0,0.06
hu3|2026-06-14|day,hu3,sealing,Sealing Head,1,0.02,0.0,0.02
hu3|2026-06-14|day,hu3,handling,Fork,8,0.38,0.0,0.38
hu3|2026-06-14|day,hu3,handling,Gripper,6,0.11,0.0,0.11
hu3|2026-06-14|day,hu3,pneumatic,Valve on Web,3,0.04,0.0,0.04
hu3|2026-06-14|day,hu3,pneumatic,Air Pressure,2,1.92,1.92,0.0
hu3|2026-06-14|day,hu3,pneumatic,Cooling,1,0.01,0.0,0.01
hu3|2026-06-14|day,hu3,manual,Manual,8,1.04,0.0,1.04
hu3|2026-06-14|day,hu3,unattributed,Other,12,0.69,0.01,0.68
hu3|2026-06-14|night,hu3,web,End of Reel,13,1.42,0.0,1.42
hu3|2026-06-14|night,hu3,web,Splice,3,0.06,0.0,0.06
hu3|2026-06-14|night,hu3,web,Web Torn,1,0.03,0.0,0.03
hu3|2026-06-14|night,hu3,handling,Gripper,2,0.03,0.0,0.03
hu3|2026-06-14|night,hu3,handling,Fork,7,0.21,0.0,0.21
hu3|2026-06-14|night,hu3,handling,Piston,2,0.11,0.0,0.11
hu3|2026-06-14|night,hu3,pneumatic,Air Pressure,3,0.97,0.97,0.0
