ShiftKey,LineId,Segment,SegmentLabel,Count,Hours,HaltedHours,StoppedHours,SegmentColor
hu3|2026-06-13|day,hu3,web,Web / Reel,17,1.16,0.0,1.16,#3B82F6
hu3|2026-06-13|day,hu3,sealing,Sealing,3,0.36,0.23,0.13,#F59E0B
hu3|2026-06-13|day,hu3,handling,Handling,14,0.34,0.0,0.34,#8B5CF6
hu3|2026-06-13|day,hu3,pneumatic,Pneumatic,11,2.33,2.09,0.23,#10B981
hu3|2026-06-13|day,hu3,manual,Manual,2,0.21,0.0,0.21,#636e72
hu3|2026-06-13|day,hu3,unattributed,Other,29,2.31,0.35,1.96,#b2bec3
hu3|2026-06-13|night,hu3,web,Web / Reel,15,1.27,0.0,1.27,#3B82F6
hu3|2026-06-13|night,hu3,sealing,Sealing,4,0.3,0.0,0.3,#F59E0B
hu3|2026-06-13|night,hu3,handling,Handling,8,0.2,0.0,0.2,#8B5CF6
hu3|2026-06-13|night,hu3,pneumatic,Pneumatic,2,0.24,0.0,0.24,#10B981
hu3|2026-06-13|night,hu3,manual,Manual,13,1.47,0.0,1.47,#636e72
hu3|2026-06-13|night,hu3,unattributed,Other,43,3.05,0.62,2.43,#b2bec3
hu3|2026-06-14|day,hu3,web,Web / Reel,12,0.92,0.0,0.92,#3B82F6
hu3|2026-06-14|day,hu3,sealing,Sealing,1,0.02,0.0,0.02,#F59E0B
hu3|2026-06-14|day,hu3,handling,Handling,14,0.49,0.0,0.49,#8B5CF6
hu3|2026-06-14|day,hu3,pneumatic,Pneumatic,6,1.96,1.92,0.05,#10B981
hu3|2026-06-14|day,hu3,manual,Manual,8,1.04,0.0,1.04,#636e72
hu3|2026-06-14|day,hu3,unattributed,Other,12,0.69,0.01,0.68,#b2bec3
hu3|2026-06-14|night,hu3,web,Web / Reel,17,1.51,0.0,1.51,#3B82F6
hu3|2026-06-14|night,hu3,sealing,Sealing,0,0.0,0.0,0.0,#F59E0B
hu3|2026-06-14|night,hu3,handling,Handling,11,0.35,0.0,0.35,#8B5CF6
hu3|2026-06-14|night,hu3,pneumatic,Pneumatic,5,1.0,0.97,0.03,#10B981
hu3|2026-06-14|night,hu3,manual,Manual,10,1.02,0.04,0.98,#636e72
hu3|2026-06-14|night,hu3,unattributed,Other,7,0.63,0.4,0.23,#b2bec3
hu3|2026-06-15|day,hu3,web,Web / Reel,18,1.36,0.0,1.36,#3B82F6
hu3|2026-06-15|day,hu3,sealing,Sealing,8,1.43,0.0,1.43,#F59E0B
hu3|2026-06-15|day,hu3,handling,Handling,16,0.25,0.0,0.25,#8B5CF6
hu3|2026-06-15|day,hu3,pneumatic,Pneumatic,4,0.27,0.08,0.19,#10B981
hu3|2026-06-15|day,hu3,manual,Manual,2,0.09,0.0,0.09,#636e72
hu3|2026-06-15|day,hu3,unattributed,Other,11,0.64,0.09,0.56,#b2bec3
hu3|2026-06-15|night,hu3,web,Web / Reel,18,1.15,0.06,1.09,#3B82F6
hu3|2026-06-15|night,hu3,sealing,Sealing,0,0.0,0.0,0.0,#F59E0B
hu3|2026-06-15|night,hu3,handling,Handling,20,0.67,0.0,0.67,#8B5CF6
hu3|2026-06-15|night,hu3,pneumatic,Pneumatic,8,0.25,0.15,0.1,#10B981
hu3|2026-06-15|night,hu3,manual,Manual,8,0.67,0.0,0.67,#636e72
hu3|2026-06-15|night,hu3,unattributed,Other,22,1.49,0.08,1.41,#b2bec3
hu3|2026-06-16|day,hu3,web,Web / Reel,16,0.94,0.0,0.94,#3B82F6
hu3|2026-06-16|day,hu3,sealing,Sealing,1,0.01,0.0,0.01,#F59E0B
hu3|2026-06-16|day,hu3,handling,Handling,48,0.69,0.0,0.69,#8B5CF6
hu3|2026-06-16|day,hu3,pneumatic,Pneumatic,25,1.58,1.33,0.25,#10B981
hu3|2026-06-16|day,hu3,manual,Manual,3,0.38,0.0,0.38,#636e72
hu3|2026-06-16|day,hu3,unattributed,Other,28,0.58,0.0,0.58,#b2bec3
hu3|2026-06-16|night,hu3,web,Web / Reel,12,0.74,0.0,0.74,#3B82F6
hu3|2026-06-16|night,hu3,sealing,Sealing,3,0.1,0.0,0.1,#F59E0B
hu3|2026-06-16|night,hu3,handling,Handling,26,0.73,0.0,0.73,#8B5CF6
hu3|2026-06-16|night,hu3,pneumatic,Pneumatic,30,0.86,0.12,0.73,#10B981
hu3|2026-06-16|night,hu3,manual,Manual,6,0.88,0.0,0.88,#636e72
hu3|2026-06-16|night,hu3,unattributed,Other,11,0.89,0.01,0.87,#b2bec3
hu3|2026-06-17|day,hu3,web,Web / Reel,5,0.33,0.0,0.33,#3B82F6
hu3|2026-06-17|day,hu3,sealing,Sealing,2,0.1,0.0,0.1,#F59E0B
hu3|2026-06-17|day,hu3,handling,Handling,5,0.1,0.0,0.1,#8B5CF6
hu3|2026-06-17|day,hu3,pneumatic,Pneumatic,24,0.86,0.57,0.29,#10B981
hu3|2026-06-17|day,hu3,manual,Manual,8,2.13,0.43,1.69,#636e72
hu3|2026-06-17|day,hu3,unattributed,Other,20,3.47,0.06,3.41,#b2bec3
hu3|2026-06-17|night,hu3,web,Web / Reel,16,0.79,0.0,0.79,#3B82F6
hu3|2026-06-17|night,hu3,sealing,Sealing,5,0.95,0.0,0.95,#F59E0B
hu3|2026-06-17|night,hu3,handling,Handling,20,1.73,0.0,1.73,#8B5CF6
hu3|2026-06-17|night,hu3,pneumatic,Pneumatic,27,0.46,0.06,0.4,#10B981
hu3|2026-06-17|night,hu3,manual,Manual,4,0.39,0.0,0.39,#636e72
hu3|2026-06-17|night,hu3,unattributed,Other,30,1.03,0.39,0.64,#b2bec3
