AnchorShiftKey,LineId,Line,TrendRank,TrendShiftKey,TrendShiftLabel,TrendShiftDate,Category,CategoryLabel,Hours,CategoryColor
hu3|2026-06-13|day,hu3,HU3,0,hu3|2026-06-13|day,Day 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-13|day,hu3,HU3,0,hu3|2026-06-13|day,Day 06-13,2026-06-13,halted,Halted (operator wait),2.68,#636e72
hu3|2026-06-13|day,hu3,HU3,0,hu3|2026-06-13|day,Day 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.19,#b2bec3
hu3|2026-06-13|day,hu3,HU3,0,hu3|2026-06-13|day,Day 06-13,2026-06-13,manual,Manual stops,0.21,#dfe6e9
hu3|2026-06-13|night,hu3,HU3,0,hu3|2026-06-13|night,Night 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.74,#2d3436
hu3|2026-06-13|night,hu3,HU3,0,hu3|2026-06-13|night,Night 06-13,2026-06-13,halted,Halted (operator wait),0.62,#636e72
hu3|2026-06-13|night,hu3,HU3,0,hu3|2026-06-13|night,Night 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.69,#b2bec3
hu3|2026-06-13|night,hu3,HU3,0,hu3|2026-06-13|night,Night 06-13,2026-06-13,manual,Manual stops,1.47,#dfe6e9
hu3|2026-06-13|night,hu3,HU3,1,hu3|2026-06-13|day,Day 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-13|night,hu3,HU3,1,hu3|2026-06-13|day,Day 06-13,2026-06-13,halted,Halted (operator wait),2.68,#636e72
hu3|2026-06-13|night,hu3,HU3,1,hu3|2026-06-13|day,Day 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.19,#b2bec3
hu3|2026-06-13|night,hu3,HU3,1,hu3|2026-06-13|day,Day 06-13,2026-06-13,manual,Manual stops,0.21,#dfe6e9
hu3|2026-06-14|day,hu3,HU3,0,hu3|2026-06-14|day,Day 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.28,#2d3436
hu3|2026-06-14|day,hu3,HU3,0,hu3|2026-06-14|day,Day 06-14,2026-06-14,halted,Halted (operator wait),1.93,#636e72
hu3|2026-06-14|day,hu3,HU3,0,hu3|2026-06-14|day,Day 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.89,#b2bec3
hu3|2026-06-14|day,hu3,HU3,0,hu3|2026-06-14|day,Day 06-14,2026-06-14,manual,Manual stops,1.04,#dfe6e9
hu3|2026-06-14|day,hu3,HU3,1,hu3|2026-06-13|night,Night 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.74,#2d3436
hu3|2026-06-14|day,hu3,HU3,1,hu3|2026-06-13|night,Night 06-13,2026-06-13,halted,Halted (operator wait),0.62,#636e72
hu3|2026-06-14|day,hu3,HU3,1,hu3|2026-06-13|night,Night 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.69,#b2bec3
hu3|2026-06-14|day,hu3,HU3,1,hu3|2026-06-13|night,Night 06-13,2026-06-13,manual,Manual stops,1.47,#dfe6e9
hu3|2026-06-14|day,hu3,HU3,2,hu3|2026-06-13|day,Day 06-13,2026-06-13,micro_stops,Micro-stops (<2 min),0.62,#2d3436
hu3|2026-06-14|day,hu3,HU3,2,hu3|2026-06-13|day,Day 06-13,2026-06-13,halted,Halted (operator wait),2.68,#636e72
hu3|2026-06-14|day,hu3,HU3,2,hu3|2026-06-13|day,Day 06-13,2026-06-13,auto_long,Auto-stops (>2 min),3.19,#b2bec3
hu3|2026-06-14|day,hu3,HU3,2,hu3|2026-06-13|day,Day 06-13,2026-06-13,manual,Manual stops,0.21,#dfe6e9
hu3|2026-06-14|night,hu3,HU3,0,hu3|2026-06-14|night,Night 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.33,#2d3436
hu3|2026-06-14|night,hu3,HU3,0,hu3|2026-06-14|night,Night 06-14,2026-06-14,halted,Halted (operator wait),1.41,#636e72
hu3|2026-06-14|night,hu3,HU3,0,hu3|2026-06-14|night,Night 06-14,2026-06-14,auto_long,Auto-stops (>2 min),1.79,#b2bec3
hu3|2026-06-14|night,hu3,HU3,0,hu3|2026-06-14|night,Night 06-14,2026-06-14,manual,Manual stops,1.02,#dfe6e9
hu3|2026-06-14|night,hu3,HU3,1,hu3|2026-06-14|day,Day 06-14,2026-06-14,micro_stops,Micro-stops (<2 min),0.28,#2d3436
