ShiftKey,LineId,Line,ShiftDate,ShiftType,Label,LineShiftLabel,IsoWeek,WeekLabel,OEE,Availability,Performance,Quality,RunningHours,ScheduledHours,TotalStops,TotalDowntimeHours,LongestStopMin,GoodCount,TotalCount
hu3|2026-06-13|day,hu3,HU3,2026-06-13,day,Day 06-13,hu3|Day 06-13,2026-W24,Week of Jun 08,34.5,44.1,85.2,91.7,5.29,12.0,76,6.71,68.8,10994,11984
hu3|2026-06-13|night,hu3,HU3,2026-06-13,night,Night 06-13,hu3|Night 06-13,2026-W24,Week of Jun 08,32.6,45.7,79.6,89.6,5.48,12.0,85,6.52,65.8,10840,12098
hu3|2026-06-14|day,hu3,HU3,2026-06-14,day,Day 06-14,hu3|Day 06-14,2026-W24,Week of Jun 08,47.4,57.2,85.6,96.6,6.87,12.0,53,5.13,112.7,15488,16028
hu3|2026-06-14|night,hu3,HU3,2026-06-14,night,Night 06-14,hu3|Night 06-14,2026-W24,Week of Jun 08,50.9,62.4,85.0,95.9,7.49,12.0,50,4.51,52.2,16979,17696
hu3|2026-06-15|day,hu3,HU3,2026-06-15,day,Day 06-15,hu3|Day 06-15,2026-W25,Week of Jun 15,52.2,66.3,81.4,96.8,7.95,12.0,59,4.05,68.8,18077,18684
hu3|2026-06-15|night,hu3,HU3,2026-06-15,night,Night 06-15,hu3|Night 06-15,2026-W25,Week of Jun 15,50.8,64.8,81.7,96.0,7.77,12.0,76,4.23,35.5,17308,18036
hu3|2026-06-16|day,hu3,HU3,2026-06-16,day,Day 06-16,hu3|Day 06-16,2026-W25,Week of Jun 15,49.1,65.1,79.4,94.9,7.82,12.0,121,4.18,39.5,16701,17594
hu3|2026-06-16|night,hu3,HU3,2026-06-16,night,Night 06-16,hu3|Night 06-16,2026-W25,Week of Jun 15,50.0,65.1,81.6,94.1,7.81,12.0,88,4.19,26.4,17126,18204
hu3|2026-06-17|day,hu3,HU3,2026-06-17,day,Day 06-17,hu3|Day 06-17,2026-W25,Week of Jun 15,29.6,41.8,78.0,90.7,5.02,12.0,64,6.98,102.6,10304,11360
hu3|2026-06-17|night,hu3,HU3,2026-06-17,night,Night 06-17,hu3|Night 06-17,2026-W25,Week of Jun 15,40.2,55.4,77.7,93.3,6.65,12.0,102,5.35,48.8,13217,14167
hu3|2026-06-18|day,hu3,HU3,2026-06-18,day,Day 06-18,hu3|Day 06-18,2026-W25,Week of Jun 15,23.8,34.5,76.6,89.9,4.14,12.0,86,7.86,107.1,8132,9042
hu3|2026-06-18|night,hu3,HU3,2026-06-18,night,Night 06-18,hu3|Night 06-18,2026-W25,Week of Jun 15,56.9,71.2,83.5,95.7,8.54,12.0,56,3.46,24.6,17768,18576
hu3|2026-06-19|day,hu3,HU3,2026-06-19,day,Day 06-19,hu3|Day 06-19,2026-W25,Week of Jun 15,24.8,33.1,80.6,92.9,3.97,12.0,47,8.03,183.3,8071,8686
hu3|2026-06-19|night,hu3,HU3,2026-06-19,night,Night 06-19,hu3|Night 06-19,2026-W25,Week of Jun 15,56.5,71.5,82.5,95.8,8.57,12.0,82,3.43,27.9,17716,18487
hu3|2026-07-08|day,hu3,HU3,2026-07-08,day,Day 07-08,hu3|Day 07-08,2026-W28,Week of Jul 06,42.2,50.9,85.0,97.5,6.1,12.0,67,5.9,119.4,13835,14186
hu3|2026-07-08|night,hu3,HU3,2026-07-08,night,Night 07-08,hu3|Night 07-08,2026-W28,Week of Jul 06,39.4,51.2,80.0,96.1,6.15,12.0,67,5.85,92.5,13634,14182
hu3|2026-07-09|day,hu3,HU3,2026-07-09,day,Day 07-09,hu3|Day 07-09,2026-W28,Week of Jul 06,51.6,63.1,84.2,97.2,7.57,12.0,85,4.43,48.3,16794,17276
hu3|2026-07-09|night,hu3,HU3,2026-07-09,night,Night 07-09,hu3|Night 07-09,2026-W28,Week of Jul 06,48.6,62.5,80.5,96.6,7.5,12.0,101,4.5,40.0,16315,16887
hu3|2026-07-10|day,hu3,HU3,2026-07-10,day,Day 07-10,hu3|Day 07-10,2026-W28,Week of Jul 06,52.7,65.3,84.7,95.3,7.83,12.0,99,4.17,40.9,16748,17578
hu3|2026-07-10|night,hu3,HU3,2026-07-10,night,Night 07-10,hu3|Night 07-10,2026-W28,Week of Jul 06,47.5,57.5,86.9,95.1,6.9,12.0,64,5.1,28.1,14792,15560
hu3|2026-07-11|day,hu3,HU3,2026-07-11,day,Day 07-11,hu3|Day 07-11,2026-W28,Week of Jul 06,62.0,72.7,88.6,96.2,8.72,12.0,77,3.28,17.5,18787,19530
hu3|2026-07-11|night,hu3,HU3,2026-07-11,night,Night 07-11,hu3|Night 07-11,2026-W28,Week of Jul 06,54.6,67.0,85.6,95.2,8.04,12.0,100,3.96,23.6,16898,17750
hu3|2026-07-12|day,hu3,HU3,2026-07-12,day,Day 07-12,hu3|Day 07-12,2026-W28,Week of Jul 06,47.5,61.6,82.3,93.6,7.4,12.0,137,4.6,19.8,15360,16406
hu3|2026-07-12|night,hu3,HU3,2026-07-12,night,Night 07-12,hu3|Night 07-12,2026-W28,Week of Jul 06,58.1,70.5,87.8,94.0,8.45,12.0,97,3.55,20.1,17714,18844
hu3|2026-07-13|day,hu3,HU3,2026-07-13,day,Day 07-13,hu3|Day 07-13,2026-W29,Week of Jul 13,25.2,34.9,83.1,86.9,4.19,12.0,84,7.81,61.7,7935,9130
hu3|2026-07-13|night,hu3,HU3,2026-07-13,night,Night 07-13,hu3|Night 07-13,2026-W29,Week of Jul 13,37.9,50.8,80.8,92.4,6.09,12.0,118,5.91,61.5,12249,13254
hu3|2026-07-14|day,hu3,HU3,2026-07-14,day,Day 07-14,hu3|Day 07-14,2026-W29,Week of Jul 13,18.1,25.5,81.8,86.9,3.05,12.0,51,8.95,87.1,6656,7656
hu3|2026-07-14|night,hu3,HU3,2026-07-14,night,Night 07-14,hu3|Night 07-14,2026-W29,Week of Jul 13,8.0,12.6,79.5,80.2,1.51,12.0,46,10.49,370.3,3053,3806
ngp2|2026-05-29|day,ngp2,NGP2,2026-05-29,day,Day 05-29,ngp2|Day 05-29,2026-W22,Week of May 25,30.0,41.7,79.5,90.4,5.0,12.0,100,7.35,60.4,27843,30810
ngp2|2026-05-29|night,ngp2,NGP2,2026-05-29,night,Night 05-29,ngp2|Night 05-29,2026-W22,Week of May 25,29.9,43.5,75.7,90.9,5.22,12.0,122,6.86,62.0,29717,32680
ngp2|2026-05-30|day,ngp2,NGP2,2026-05-30,day,Day 05-30,ngp2|Day 05-30,2026-W22,Week of May 25,37.7,53.5,74.8,94.3,6.42,12.0,108,5.9,57.6,36663,38890
ngp2|2026-05-30|night,ngp2,NGP2,2026-05-30,night,Night 05-30,ngp2|Night 05-30,2026-W22,Week of May 25,44.5,61.0,76.8,95.0,7.32,12.0,117,4.71,23.5,42553,44785
ngp2|2026-05-31|day,ngp2,NGP2,2026-05-31,day,Day 05-31,ngp2|Day 05-31,2026-W22,Week of May 25,32.5,48.5,71.8,93.5,5.82,12.0,135,6.38,22.2,33333,35650
ngp2|2026-05-31|night,ngp2,NGP2,2026-05-31,night,Night 05-31,ngp2|Night 05-31,2026-W22,Week of May 25,48.7,65.6,77.9,95.4,7.87,12.0,115,4.33,18.3,45573,47780
ngp2|2026-06-01|day,ngp2,NGP2,2026-06-01,day,Day 06-01,ngp2|Day 06-01,2026-W23,Week of Jun 01,47.6,62.4,79.9,95.5,7.49,12.0,97,4.77,31.9,43379,45440
ngp2|2026-06-01|night,ngp2,NGP2,2026-06-01,night,Night 06-01,ngp2|Night 06-01,2026-W23,Week of Jun 01,42.4,56.2,81.0,93.2,6.74,12.0,110,5.33,65.0,38591,41415
ngp2|2026-06-02|day,ngp2,NGP2,2026-06-02,day,Day 06-02,ngp2|Day 06-02,2026-W23,Week of Jun 01,47.3,62.6,80.5,93.7,7.52,12.0,99,4.62,48.8,42810,45665
ngp2|2026-06-02|night,ngp2,NGP2,2026-06-02,night,Night 06-02,ngp2|Night 06-02,2026-W23,Week of Jun 01,46.5,61.2,79.9,95.2,7.34,12.0,115,4.86,16.9,42583,44725
ngp2|2026-06-03|day,ngp2,NGP2,2026-06-03,day,Day 06-03,ngp2|Day 06-03,2026-W23,Week of Jun 01,51.3,66.6,80.8,95.5,7.99,12.0,100,4.23,16.9,46687,48910
ngp2|2026-06-03|night,ngp2,NGP2,2026-06-03,night,Night 06-03,ngp2|Night 06-03,2026-W23,Week of Jun 01,48.8,63.2,81.7,94.3,7.59,12.0,85,4.45,37.0,43739,46365
ngp2|2026-06-04|day,ngp2,NGP2,2026-06-04,day,Day 06-04,ngp2|Day 06-04,2026-W23,Week of Jun 01,43.9,57.7,79.7,95.4,6.92,12.0,75,5.26,31.3,40208,42135
ngp2|2026-06-04|night,ngp2,NGP2,2026-06-04,night,Night 06-04,ngp2|Night 06-04,2026-W23,Week of Jun 01,63.8,79.8,83.4,95.9,9.58,12.0,86,2.56,10.3,55956,58370
ngp2|2026-06-13|day,ngp2,NGP2,2026-06-13,day,Day 06-13,ngp2|Day 06-13,2026-W24,Week of Jun 08,33.5,42.7,85.6,91.7,5.12,12.0,53,6.88,182.9,28781,31375
ngp2|2026-06-13|night,ngp2,NGP2,2026-06-13,night,Night 06-13,ngp2|Night 06-13,2026-W24,Week of Jun 08,40.6,51.8,83.6,93.7,6.21,12.0,86,5.79,37.3,35951,38355
ngp2|2026-06-14|day,ngp2,NGP2,2026-06-14,day,Day 06-14,ngp2|Day 06-14,2026-W24,Week of Jun 08,36.5,53.9,75.3,90.0,6.47,12.0,149,5.53,11.0,36758,40830
ngp2|2026-06-14|night,ngp2,NGP2,2026-06-14,night,Night 06-14,ngp2|Night 06-14,2026-W24,Week of Jun 08,39.2,52.9,80.4,92.0,6.35,12.0,126,5.65,14.1,36493,39650
ngp2|2026-06-15|day,ngp2,NGP2,2026-06-15,day,Day 06-15,ngp2|Day 06-15,2026-W25,Week of Jun 15,47.6,62.7,80.4,94.5,7.53,12.0,115,4.47,13.6,43822,46395
ngp2|2026-06-15|night,ngp2,NGP2,2026-06-15,night,Night 06-15,ngp2|Night 06-15,2026-W25,Week of Jun 15,33.3,46.8,76.8,92.5,5.62,12.0,139,6.38,28.6,32521,35145
ngp2|2026-06-16|day,ngp2,NGP2,2026-06-16,day,Day 06-16,ngp2|Day 06-16,2026-W25,Week of Jun 15,28.6,40.6,78.0,90.2,4.87,12.0,143,7.13,23.8,28542,31649
ngp2|2026-06-16|night,ngp2,NGP2,2026-06-16,night,Night 06-16,ngp2|Night 06-16,2026-W25,Week of Jun 15,41.4,56.9,77.7,93.7,6.82,12.0,118,5.18,39.9,40315,43005
ngp2|2026-06-17|day,ngp2,NGP2,2026-06-17,day,Day 06-17,ngp2|Day 06-17,2026-W25,Week of Jun 15,36.2,48.4,80.1,93.3,5.81,12.0,89,6.19,71.3,33719,36135
ngp2|2026-06-17|night,ngp2,NGP2,2026-06-17,night,Night 06-17,ngp2|Night 06-17,2026-W25,Week of Jun 15,29.9,43.6,75.7,90.6,5.23,12.0,149,6.77,25.7,29676,32755
ngp2|2026-06-18|day,ngp2,NGP2,2026-06-18,day,Day 06-18,ngp2|Day 06-18,2026-W25,Week of Jun 15,39.9,52.3,82.7,92.1,6.28,12.0,111,5.72,70.6,36103,39196
ngp2|2026-06-18|night,ngp2,NGP2,2026-06-18,night,Night 06-18,ngp2|Night 06-18,2026-W25,Week of Jun 15,47.3,62.4,82.7,91.8,7.49,12.0,128,4.51,13.3,42665,46500
ngp2|2026-06-19|day,ngp2,NGP2,2026-06-19,day,Day 06-19,ngp2|Day 06-19,2026-W25,Week of Jun 15,39.6,52.7,81.1,92.7,6.33,12.0,116,5.67,20.1,36389,39245
